id,as_owner,country,reputation,asn,malicious,suspicious,undetected,harmless,status
,PlusServer GmbH,DE,0,61157,0,0,25,64,benign
,ASN-APPNEX,NL,0,29990,0,0,25,64,benign
,GOOGLE,US,0,15169,0,0,89,0,unknown
,Dialog Axiata PLC.,LK,0,18001,0,0,89,0,unknown
,GOOGLE,US,0,15169,0,0,22,67,benign
,,,0,,0,0,24,65,benign
,AKAMAI-AS,NL,0,16625,0,0,89,0,unknown
,Telecom Algeria,DZ,0,36947,0,0,89,0,unknown
,AMAZON-02,US,0,16509,0,0,89,0,unknown
,ASN01-SOGE,CA,0,4540,0,0,89,0,unknown
,GOOGLE,US,0,15169,0,0,89,0,unknown
,Vivacom Bulgaria EAD,BG,0,8866,0,0,89,0,unknown
,"Nepal Telecommunications Corporation, Internet Services",NP,0,23752,0,0,30,59,benign
,GOOGLE,US,0,15169,0,0,89,0,unknown
,COMCAST-7922,US,0,7922,0,0,89,0,unknown
,Unitas Global Ltd,GB,0,15570,0,0,89,0,unknown
,Jordan Data Communications Company LLC,JO,0,8376,0,0,89,0,unknown
,INTERNAP-BLK3,US,0,13789,0,0,89,0,unknown
,FASTLY,US,0,54113,0,0,88,1,unknown
,AMAZON-02,US,0,16509,0,0,89,0,unknown
,AKAMAI-AS,IT,0,16625,0,0,89,0,unknown
,Telecom Italia,IT,0,3269,0,0,89,0,unknown
,Orange Espagne SA,ES,0,12479,0,0,89,0,unknown
,MT-MPLS,MA,0,36903,0,0,89,0,unknown
,AMAZON-AES,US,0,14618,0,0,89,0,unknown
,GOOGLE,US,0,15169,0,0,28,61,benign
,Orange,FR,0,3215,0,0,89,0,unknown
,Hamara System Tabriz Engineering Company,IR,0,47262,0,0,89,0,unknown
,Private Joint Stock Company Datagroup,UA,0,197743,0,0,89,0,unknown
,TE Data,EG,0,8452,0,0,89,0,unknown
,,DE,0,,0,0,89,0,unknown
,NForce Entertainment B.V.,NL,0,43350,0,0,89,0,unknown
,National Internet Backbone,IN,0,9829,0,0,89,0,unknown
