No.,Time,Source,Destination,Info,Protocol,Length
60,1679479441.575379,02:00:00:44:55:66,02:00:00:00:01:00,Ether / IP / TCP 192.168.232.2:55679 > 142.251.10.101:http A,Ethernet,54
61,1679479441.596872,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 A / Raw,Ethernet,1494
62,1679479441.596942,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 PA / Raw,Ethernet,1226
63,1679479441.596948,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 PA / Raw,Ethernet,1360
64,1679479441.597382,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 PA / Raw,Ethernet,1360
65,1679479441.598298,02:00:00:44:55:66,02:00:00:00:01:00,Ether / IP / TCP 192.168.232.2:55679 > 142.251.10.101:http A,Ethernet,54
66,1679479441.598752,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 A / Raw,Ethernet,1494
67,1679479441.598791,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 A / Raw,Ethernet,1494
68,1679479441.598952,02:00:00:44:55:66,02:00:00:00:01:00,Ether / IP / TCP 192.168.232.2:55679 > 142.251.10.101:http A,Ethernet,54
69,1679479441.598797,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 A / Raw,Ethernet,1494
70,1679479441.598802,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 A / Raw,Ethernet,1494
71,1679479441.599033,02:00:00:44:55:66,02:00:00:00:01:00,Ether / IP / TCP 192.168.232.2:55679 > 142.251.10.101:http A,Ethernet,54
72,1679479441.598806,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 PA / Raw,Ethernet,824
73,1679479441.600074,02:00:00:44:55:66,02:00:00:00:01:00,Ether / IP / TCP 192.168.232.2:55679 > 142.251.10.101:http A,Ethernet,54
74,1679479441.600400,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 A / Raw,Ethernet,1494
75,1679479441.600432,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 PA / Raw,Ethernet,1226
76,1679479441.600598,02:00:00:44:55:66,02:00:00:00:01:00,Ether / IP / TCP 192.168.232.2:55679 > 142.251.10.101:http A,Ethernet,54
77,1679479441.603538,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 PA / Raw,Ethernet,1360
78,1679479441.604155,02:00:00:44:55:66,02:00:00:00:01:00,Ether / IP / TCP 192.168.232.2:55679 > 142.251.10.101:http A,Ethernet,54
79,1679479441.607093,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 PA / Raw,Ethernet,1360
80,1679479441.616801,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 PA / Raw,Ethernet,1360
81,1679479441.617332,02:00:00:44:55:66,02:00:00:00:01:00,Ether / IP / TCP 192.168.232.2:55679 > 142.251.10.101:http A,Ethernet,54
82,1679479441.639295,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 PA / Raw,Ethernet,1360
83,1679479441.639342,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 PA / Raw,Ethernet,1360
84,1679479441.639559,02:00:00:44:55:66,02:00:00:00:01:00,Ether / IP / TCP 192.168.232.2:55679 > 142.251.10.101:http A,Ethernet,54
85,1679479441.641281,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 PA / Raw,Ethernet,1360
86,1679479441.641532,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 PA / Raw,Ethernet,1360
87,1679479441.641595,02:00:00:44:55:66,02:00:00:00:01:00,Ether / IP / TCP 192.168.232.2:55679 > 142.251.10.101:http A,Ethernet,54
88,1679479441.669769,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 PA / Raw,Ethernet,1360
89,1679479441.670228,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 PA / Raw,Ethernet,1360
90,1679479441.670383,02:00:00:44:55:66,02:00:00:00:01:00,Ether / IP / TCP 192.168.232.2:55679 > 142.251.10.101:http A,Ethernet,54
91,1679479441.673068,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 PA / Raw,Ethernet,1360
92,1679479441.673563,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 PA / Raw,Ethernet,1360
